Australian Central Standard Time;09:30
Australian Eastern Standard Time;10:00
Alaska Standard Time;-09:00
Brasilia Time (Sao Paulo, Rio De Janeiro);-03:00
British Summer Time;01:00
Central Africa Time" >Central Africa Time;02:00
Central European Time;01:00
Central Standard Time (North America);-06:00
East Africa Time;03:00
Eastern European Time;02:00
Eastern Standard Time (North America);-05:00
Greenwich Mean Time;00:00
Hawaii Standard Time;-10:00
India Standard Time;05:30
Irish Summer Time;01:00
Israel Standard Time;02:00
Japan Standard Time;09:00
Moscow Standard Time (Russia time zone 2);03:00
Mountain Standard Time (North America);-07:00
Pacific Standard Time (North America);-08:00
Singapore Time;08:00
West Africa Time;01:00
